COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,AÑO,CANTIDAD_EXTORSION,PROMEDIO_EXTORSION,CANTIDAD_SUBVERSIVAS,PROMEDIO_SUBVERSIVAS,COD_DPTO,COD_DPTO-MPIO,Total,COBERTURA 2G,COBERTURA 3G,COBERTUTA 4G
25,CUNDINAMARCA,25758,SOPO,2024,2.0,1.0,0.0,0.0,25,25758,31775,0.0,0.0,0.0
25,CUNDINAMARCA,25769,SUBACHOQUE,2020,2.0,1.0,0.0,0.0,25,25769,16364,1.0,1.0,0.0
25,CUNDINAMARCA,25769,SUBACHOQUE,2021,2.0,1.0,0.0,0.0,25,25769,16524,1.0,1.0,1.0
25,CUNDINAMARCA,25769,SUBACHOQUE,2022,3.0,1.0,0.0,0.0,25,25769,17036,1.0,1.0,1.0
25,CUNDINAMARCA,25769,SUBACHOQUE,2024,5.0,1.0,0.0,0.0,25,25769,18064,0.0,0.0,0.0
25,CUNDINAMARCA,25772,SUESCA,2021,4.0,1.0,0.0,0.0,25,25772,18844,1.0,1.0,1.0
25,CUNDINAMARCA,25772,SUESCA,2022,2.0,1.0,0.0,0.0,25,25772,19452,1.0,1.0,1.0
25,CUNDINAMARCA,25772,SUESCA,2023,1.0,1.0,0.0,0.0,25,25772,20120,1.0,1.0,1.0
25,CUNDINAMARCA,25777,SUPATA,2020,1.0,1.0,0.0,0.0,25,25777,5535,1.0,1.0,0.0
25,CUNDINAMARCA,25779,SUSA,2019,2.0,1.0,0.0,0.0,25,25779,6694,1.0,1.0,0.0
25,CUNDINAMARCA,25779,SUSA,2020,1.0,1.0,0.0,0.0,25,25779,6897,1.0,1.0,0.0
25,CUNDINAMARCA,25779,SUSA,2022,3.0,1.0,0.0,0.0,25,25779,7260,1.0,1.0,1.0
25,CUNDINAMARCA,25779,SUSA,2024,1.0,1.0,0.0,0.0,25,25779,7744,0.0,0.0,0.0
25,CUNDINAMARCA,25785,TABIO,2019,3.0,1.0,0.0,0.0,25,25785,22643,1.0,1.0,0.0
25,CUNDINAMARCA,25785,TABIO,2020,1.0,1.0,0.0,0.0,25,25785,23427,1.0,1.0,0.0
25,CUNDINAMARCA,25785,TABIO,2021,1.0,1.0,0.0,0.0,25,25785,24099,1.0,1.0,1.0
25,CUNDINAMARCA,25785,TABIO,2022,3.0,1.0,0.0,0.0,25,25785,24854,1.0,1.0,1.0
25,CUNDINAMARCA,25785,TABIO,2023,2.0,1.0,0.0,0.0,25,25785,25692,1.0,1.0,1.0
25,CUNDINAMARCA,25785,TABIO,2024,3.0,1.0,0.0,0.0,25,25785,26505,0.0,0.0,0.0
25,CUNDINAMARCA,25793,TAUSA,2019,1.0,1.0,0.0,0.0,25,25793,8389,1.0,1.0,0.0
25,CUNDINAMARCA,25793,TAUSA,2020,1.0,1.0,0.0,0.0,25,25793,8627,1.0,1.0,0.0
25,CUNDINAMARCA,25793,TAUSA,2021,1.0,1.0,0.0,0.0,25,25793,8823,1.0,1.0,1.0
25,CUNDINAMARCA,25797,TENA,2019,1.0,1.0,0.0,0.0,25,25797,9959,1.0,1.0,0.0
25,CUNDINAMARCA,25797,TENA,2021,3.0,1.0,0.0,0.0,25,25797,10513,1.0,1.0,1.0
25,CUNDINAMARCA,25797,TENA,2022,1.0,1.0,0.0,0.0,25,25797,10846,1.0,1.0,1.0
25,CUNDINAMARCA,25797,TENA,2024,1.0,1.0,0.0,0.0,25,25797,11583,0.0,0.0,0.0
25,CUNDINAMARCA,25799,TENJO,2020,1.0,1.0,0.0,0.0,25,25799,23716,1.0,1.0,0.0
25,CUNDINAMARCA,25799,TENJO,2021,3.0,1.0,0.0,0.0,25,25799,24394,1.0,1.0,1.0
25,CUNDINAMARCA,25799,TENJO,2022,2.0,1.0,0.0,0.0,25,25799,25180,1.0,1.0,1.0
25,CUNDINAMARCA,25799,TENJO,2023,2.0,1.0,0.0,0.0,25,25799,26012,1.0,1.0,1.0
25,CUNDINAMARCA,25799,TENJO,2024,5.0,1.0,0.0,0.0,25,25799,26834,0.0,0.0,0.0
25,CUNDINAMARCA,25805,TIBACUY,2020,1.0,1.0,0.0,0.0,25,25805,4605,1.0,1.0,0.0
25,CUNDINAMARCA,25805,TIBACUY,2021,2.0,1.0,0.0,0.0,25,25805,4702,1.0,1.0,1.0
25,CUNDINAMARCA,25805,TIBACUY,2022,1.0,1.0,0.0,0.0,25,25805,4848,1.0,1.0,1.0
25,CUNDINAMARCA,25805,TIBACUY,2023,2.0,1.0,0.0,0.0,25,25805,5008,1.0,1.0,1.0
25,CUNDINAMARCA,25805,TIBACUY,2024,2.0,1.0,0.0,0.0,25,25805,5177,0.0,0.0,0.0
25,CUNDINAMARCA,25807,TIBIRITA,2018,1.0,1.0,0.0,0.0,25,25807,3158,1.0,1.0,0.0
25,CUNDINAMARCA,25807,TIBIRITA,2023,1.0,1.0,0.0,0.0,25,25807,3633,1.0,1.0,1.0
25,CUNDINAMARCA,25815,TOCAIMA,2018,1.0,1.0,1.0,1.0,25,25815,15735,1.0,1.0,0.0
25,CUNDINAMARCA,25815,TOCAIMA,2019,4.0,1.0,0.0,0.0,25,25815,16324,1.0,1.0,0.0
25,CUNDINAMARCA,25815,TOCAIMA,2020,2.0,1.0,0.0,0.0,25,25815,16783,1.0,1.0,0.0
25,CUNDINAMARCA,25815,TOCAIMA,2021,1.0,1.0,0.0,0.0,25,25815,17143,1.0,1.0,1.0
